업체(시설)명,지도점검일자,점검사항,지도점검구분,소재지주소
팔구사,20170627,발생폐수 적정보관 및 위탁여부,정기,서울특별시 종로구 권농동 186번지 
Bevince(베빈스),20170627,발생폐수 적정보관 및 위탁여부,정기,서울특별시 종로구 돈의동 123번지 
미보,20170627,발생폐수 적정보관 및 위탁여부,정기,서울특별시 종로구 묘동 70-1번지 
북악주유소,20170622,폐수배출시설 및 방지시설 정상가동 여부,정기,서울특별시 종로구 평창동 103-1번지 
와이스미스,20170621,발생폐수 적정보관 및 위탁여부,정기,서울특별시 종로구 인의동 50-2번지 
명가메뉴팩처링,20170621,발생폐수 적정보관 및 위탁여부,정기,서울특별시 종로구 원남동 72-2번지 
라모,20170621,발생폐수 적정보관 및 위탁여부,정기,서울특별시 종로구 원남동 277번지 
제이에스쥬얼리,20170621,발생폐수 적정보관 및 위탁여부,정기,서울특별시 종로구 연지동 105번지 
지온 공방,20170621,발생폐수 적정보관 및 위탁여부,정기,서울특별시 종로구 인의동 19번지 
구도일주유소특종,20170608,폐수배출시설 및 방지시설 정상가동 여부,정기,서울특별시 종로구 평창동 198-1번지 
반도염색,20170601,폐수배출시설 및 방지시설 정상가동 여부,정기,서울특별시 종로구 종로6가 97번지 
신광염색,20170601,폐수배출시설 및 방지시설 정상가동 여부,정기,서울특별시 종로구 종로5가 225-19번지 
골드마인,20170531,발생폐수 적정보관 및 위탁여부,정기,서울특별시 종로구 묘동 1번지 
(주)한국금거래소쓰리엠,20170531,발생폐수 적정보관 및 위탁여부,정기,서울특별시 종로구 돈의동 137번지 
골드스미스,20170531,발생폐수 적정보관 및 위탁여부,정기,서울특별시 종로구 봉익동 9-8번지 
새롬 수리방,20170531,발생폐수 적정보관 및 위탁여부,정기,서울특별시 종로구 봉익동 118-1번지 
혜화카프라자,20170530,폐수배출시설 및 방지시설 정상가동 여부,정기,서울특별시 종로구 명륜1가 32-2번지 
한국섬유,20170525,폐수배출시설 및 방지시설 정상가동 여부,정기,서울특별시 종로구 종로5가 460-1번지 
반도염색,20170525,폐수배출시설 및 방지시설 정상가동 여부,정기,서울특별시 종로구 종로6가 97번지 
종로염색,20170525,폐수배출시설 및 방지시설 정상가동 여부,정기,서울특별시 종로구 효제동 197-1번지 
우리염색,20170525,폐수배출시설 및 방지시설 정상가동 여부,정기,서울특별시 종로구 충신동 188-8번지 
선경섬유,20170525,폐수배출시설 및 방지시설 정상가동 여부,정기,서울특별시 종로구 종로5가 460-2번지 
